question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
What is a living fossil?,A fossil that appears to be moving,A modern species that closely resembles its ancient ancestors and has changed little over millions of years,A fossil of an organism that was alive when it was discovered,A fossil that contains living microorganisms,B,Medium,Science,Prep 2,6
Which of the following is often considered a living fossil?,Tyrannosaurus rex,Coelacanth (a type of fish),Woolly mammoth,Dodo bird,B,Medium,Science,Prep 2,6
What is a transitional fossil?,A fossil that is half-formed,A fossil that shows intermediate features between ancestral and descendant groups,A fossil that is in the process of being excavated,A fossil that is moving from one museum to another,B,Medium,Science,Prep 2,6
What is a fossil assemblage?,A collection of fossils in a museum,The process of putting together fragmentary fossils,"A group of fossils found together in the same sedimentary layer, representing the organisms that lived together in the same environment",A group of similar fossils found in different locations,C,Hard,Science,Prep 2,6
What is biodiversity?,The study of living organisms,The variety of plant and animal life in a particular habitat,A type of ecosystem,The classification of species,B,Easy,Science,Prep 2,6
Which of these is NOT a type of ecosystem?,Forest,Desert,Ocean,Concrete,D,Easy,Science,Prep 2,6
What is a food chain?,A series of restaurants,A sequence showing what eats what in an ecosystem,A chain made of food,The process of food production,B,Easy,Science,Prep 2,6
What is a producer in an ecosystem?,An animal that eats plants,A plant that makes its own food through photosynthesis,A decomposer,A consumer,B,Easy,Science,Prep 2,6
What is a consumer in an ecosystem?,An organism that eats other organisms,A plant that produces food,A decomposer,A type of bacteria,A,Easy,Science,Prep 2,6
What is a decomposer in an ecosystem?,A type of plant,A type of animal,An organism that breaks down dead material,A producer,C,Easy,Science,Prep 2,6
Which of these is an example of a producer?,Lion,Oak tree,Mushroom,Human,B,Easy,Science,Prep 2,6
Which of these is an example of a primary consumer?,Grass,Lion,Rabbit,Mushroom,C,Easy,Science,Prep 2,6
Which of these is an example of a secondary consumer?,Grass,Deer,Hawk,Bacteria,C,Easy,Science,Prep 2,6
Which of these is an example of a decomposer?,Eagle,Grass,Deer,Fungi,D,Easy,Science,Prep 2,6
What is a habitat?,A type of animal,The natural home of a plant or animal,A food chain,A producer,B,Easy,Science,Prep 2,6
What is an adaptation?,A movie based on a book,A feature that helps an organism survive in its environment,A type of consumer,A food web,B,Easy,Science,Prep 2,6
What is a biome?,A large naturally occurring community of flora and fauna,A small ecosystem,A type of animal,A decomposer,A,Easy,Science,Prep 2,6
What is the difference between a food chain and a food web?,A food chain is longer; a food web is shorter,A food chain is simpler; a food web shows multiple interconnected food chains,There is no difference,A food chain involves plants; a food web involves animals,B,Medium,Science,Prep 2,6
What is a keystone species?,Any endangered species,A species that has little effect on its ecosystem,A species that has a disproportionately large effect on its ecosystem,The most common species in an ecosystem,C,Medium,Science,Prep 2,6
What is an invasive species?,A native species,A species introduced to a new environment that causes harm,Any predator,Any plant species,B,Medium,Science,Prep 2,6
What is the process by which plants make their own food?,Consumption,Decomposition,Photosynthesis,Respiration,C,Medium,Science,Prep 2,6
What is the main source of energy for most ecosystems?,Water,Soil,The sun,Wind,C,Medium,Science,Prep 2,6
What is a niche in an ecosystem?,The role and position a species has in its environment,A small habitat,A type of adaptation,A food chain,A,Medium,Science,Prep 2,6
What is symbiosis?,When one organism kills another,A relationship between different organisms living in close physical association,When organisms compete for resources,When organisms live alone,B,Medium,Science,Prep 2,6
What is mutualism?,A relationship where both species benefit,A relationship where one species benefits and the other is harmed,A relationship where one species benefits and the other is unaffected,A relationship where both species are harmed,A,Medium,Science,Prep 2,6
What is parasitism?,A relationship where both species benefit,A relationship where one species benefits and the other is harmed,A relationship where one species benefits and the other is unaffected,A relationship where both species are harmed,B,Medium,Science,Prep 2,6
What is commensalism?,A relationship where both species benefit,A relationship where one species benefits and the other is harmed,A relationship where one species benefits and the other is unaffected,A relationship where both species are harmed,C,Medium,Science,Prep 2,6
What is competition in an ecosystem?,When organisms work together,When organisms fight for the same resources,When organisms help each other,When organisms ignore each other,B,Medium,Science,Prep 2,6
What is an ecological succession?,The order of presidents in a country,The process of change in species structure of an ecological community over time,A parade of animals,A food chain,B,Medium,Science,Prep 2,6
What is primary succession?,Ecological development on newly exposed surfaces with no prior soil development,Ecological development on surfaces that previously supported vegetation,The first level of a food chain,The first species in an area,A,Hard,Science,Prep 2,6
What is secondary succession?,Ecological development on newly exposed surfaces with no prior soil development,Ecological development on surfaces that previously supported vegetation,The second level of a food chain,The second species in an area,B,Hard,Science,Prep 2,6
What is a pioneer species?,The first species to colonize a disturbed area,The last species in a succession,A keystone species,An invasive species,A,Hard,Science,Prep 2,6
What is a climax community?,The beginning stage of succession,The transitional stage of succession,The relatively stable end stage of succession,A disturbed community,C,Hard,Science,Prep 2,6
What is carrying capacity?,The maximum population size that an environment can sustain indefinitely,The minimum population size needed for survival,The ideal population size,The number of species in an ecosystem,A,Hard,Science,Prep 2,6
What is a limiting factor in an ecosystem?,A factor that helps population growth,A factor that has no effect on population size,A factor that restricts population growth,A factor that only affects plants,C,Hard,Science,Prep 2,6
What is a trophic level?,A level of noise in an ecosystem,A feeding level in a food chain,A type of habitat,A type of adaptation,B,Hard,Science,Prep 2,6
What is biomagnification?,The process by which certain substances become more concentrated as they move up the food chain,The process of making something appear larger,The growth of an ecosystem,The increase in biodiversity,A,Hard,Science,Prep 2,6
What is an ecological footprint?,The mark left by animals on the ground,A measure of human demand on Earth's ecosystems,A type of adaptation,A food web diagram,B,Hard,Science,Prep 2,6
What is conservation biology?,The study of how to preserve species and ecosystems,The study of how to use natural resources,The study of animal behavior,The study of plant growth,A,Hard,Science,Prep 2,6
What is an endangered species?,A species in danger of extinction,A species that is abundant,A species that is a predator,A species that is a producer,A,Hard,Science,Prep 2,6
What is a biodiversity hotspot?,An area with a high temperature,An area with a high concentration of endemic species that is under threat,An area with many invasive species,An area with few species,B,Hard,Science,Prep 2,6
What does the arrow (→) in a chemical equation represent?,Equals,Yields or Produces,Is in equilibrium with,Reacts with,B,Easy,Science,Prep 3,1
Which symbol indicates a substance is in a gaseous state in a chemical equation?,(s),(l),(g),(aq),C,Easy,Science,Prep 3,1
What is the chemical formula for water?,CO₂,H₂O₂,H₂O,O₂,C,Easy,Science,Prep 3,1
"What does the symbol 	'(s)' indicate in a chemical equation?",Solution,Solid,Sublimation,Synthesis,B,Easy,Science,Prep 3,1
Balance the following chemical equation: __CH₄ + __O₂ → __CO₂ + __H₂O,"1, 2, 1, 2","1, 1, 1, 1","2, 1, 2, 1","1, 2, 2, 1",A,Medium,Science,Prep 3,1
Balance the equation: __Fe + __Cl₂ → __FeCl₃,"1, 1, 1","2, 3, 2","1, 3, 1","2, 2, 3",B,Medium,Science,Prep 3,1
"In the equation 2Mg(s) + O₂(g) → 2MgO(s), what does the coefficient '2' in front of MgO signify?",Two atoms of MgO,Two molecules (or formula units) of MgO,Two grams of MgO,Two moles of Mg atoms,B,Medium,Science,Prep 3,1
What is the purpose of balancing chemical equations?,To make the equation look simpler,To show the state of matter of each substance,To satisfy the Law of Conservation of Mass,To indicate the reaction rate,C,Medium,Science,Prep 3,1
Which of the following indicates a chemical change?,Water boiling,Iron rusting,Sugar dissolving in water,Ice melting,B,Medium,Science,Prep 3,1
Balance the equation: __Al + __H₂SO₄ → __Al₂(SO₄)₃ + __H₂,"2, 3, 1, 3","1, 3, 1, 3","2, 3, 2, 3","3, 2, 1, 2",A,Hard,Science,Prep 3,1
Which state of matter typically reacts fastest for the same substance under identical conditions?,Solid (lump),Solid (powder),Liquid,Gas,D,Easy,Science,Prep 3,1
Cutting a potato into smaller pieces makes it cook faster because it increases the...?,Temperature,Concentration,Surface area,Pressure,C,Easy,Science,Prep 3,1
What is an enzyme?,A type of reactant in biological systems.,"A biological catalyst, usually a protein.",An inhibitor found in living organisms.,A product of metabolic reactions.,B,Medium,Science,Prep 3,1
Which factor explains why reactions are often slower in solids than in liquids or gases?,Lower temperatures in solids.,Higher activation energies for solids.,Limited movement and contact between reacting particles in solids.,Solids always act as inhibitors.,C,Medium,Science,Prep 3,1
What is the difference between a homogeneous catalyst and a heterogeneous catalyst?,"Homogeneous catalysts are liquids, heterogeneous are solids.","Homogeneous catalysts are in the same phase as reactants, heterogeneous are in a different phase.","Homogeneous catalysts slow reactions, heterogeneous speed them up.","Homogeneous catalysts are consumed, heterogeneous are not.",B,Medium,Science,Prep 3,1
What is autocatalysis?,A reaction catalyzed by an external substance.,A reaction where one of the products acts as a catalyst.,A reaction inhibited by one of its reactants.,Catalysis occurring within a single molecule.,B,Hard,Science,Prep 3,1
What is electric current?,The flow of protons,The flow of neutrons,The flow of electric charge (usually electrons),The buildup of static charge,C,Easy,Science,Prep 3,1
What is the standard unit of electric current?,Volt (V),Ohm (Ω),Watt (W),Ampere (A),D,Easy,Science,Prep 3,1
What property of a material opposes the flow of electric current?,Conductance,Voltage,Resistance,Current,C,Easy,Science,Prep 3,1
What is the unit of electrical resistance?,Ampere (A),Volt (V),Ohm (Ω),Watt (W),C,Easy,Science,Prep 3,1
What term describes the electrical potential difference between two points in a circuit?,Current,Resistance,Voltage,Power,C,Easy,Science,Prep 3,1
What is the unit of voltage?,Ampere (A),Ohm (Ω),Volt (V),Coulomb (C),C,Easy,Science,Prep 3,1
Materials that allow electric current to flow easily are called:,Insulators,Semiconductors,Conductors,Resistors,C,Easy,Science,Prep 3,1
Which of the following is a good electrical conductor?,Rubber,Glass,Copper,Plastic,C,Easy,Science,Prep 3,1
Ohm's Law states the relationship between which three electrical quantities?,"Current, Resistance, Power","Voltage, Current, Resistance","Voltage, Power, Time","Current, Charge, Time",B,Medium,Science,Prep 3,1
"According to Ohm's Law, if voltage increases and resistance stays the same, what happens to the current?",Increases,Decreases,Stays the same,Becomes zero,A,Medium,Science,Prep 3,1
Calculate the current flowing through a resistor of 10 Ω when a voltage of 5 V is applied across it.,2:00 AM,0.5 A,50 A,0.2 A,B,Medium,Science,Prep 3,1
"What is electrical power, and what is its unit?","Rate of energy transfer, measured in Joules (J)","Amount of charge flow, measured in Coulombs (C)","Rate of energy transfer, measured in Watts (W)","Opposition to current flow, measured in Ohms (Ω)",C,Medium,Science,Prep 3,1
How is electrical power calculated using voltage (V) and current (I)?,P = V / I,P = I / V,P = V * I,P = V + I,C,Medium,Science,Prep 3,1
"If a light bulb uses 60 W of power when connected to a 120 V source, what is the current flowing through it?",2:00 AM,0.5 A,7200 A,60 A,B,Medium,Science,Prep 3,1
What factors affect the resistance of a wire?,Length and material only,"Length, cross-sectional area, material, and temperature",Voltage and current only,Color and shape only,B,Medium,Science,Prep 3,1
"A wire has a resistance R. If the wire is stretched to double its original length while keeping the volume constant, what is its new resistance?",R/2,R,2R,4R,D,Hard,Science,Prep 3,1
"What is resistivity, and how does it differ from resistance?",Resistivity is resistance per unit volume; resistance depends on dimensions.,Resistivity is an intrinsic property of a material; resistance depends on the material and its dimensions.,"Resistivity is measured in Ohms, resistance in Ohm-meters.",They are the same thing.,B,Hard,Science,Prep 3,1
Calculate the power dissipated by a 5 Ω resistor carrying a current of 3 A.,15 W,1.67 W,75 W,45 W,D,Hard,Science,Prep 3,1
How does the resistance of most metallic conductors change with temperature?,Decreases as temperature increases.,Increases as temperature increases.,Remains constant regardless of temperature.,Becomes zero at high temperatures.,B,Hard,Science,Prep 3,1
"What is the relationship between electrical energy (E), power (P), and time (t)?",E = P / t,E = P * t,E = t / P,E = P + t,B,Hard,Science,Prep 3,1
What is the primary function of an electric cell (battery)?,To store electric charge,To convert chemical energy into electrical energy,To increase resistance in a circuit,To measure electric current,B,Easy,Science,Prep 3,1
What are the two terminals of a typical electric cell called?,North and South,Anode and Cathode,Positive and Negative,Input and Output,C,Easy,Science,Prep 3,1
In which direction does conventional current flow in a circuit outside the battery?,From negative to positive terminal,From positive to negative terminal,Alternating directions,It does not flow outside the battery,B,Easy,Science,Prep 3,1
What is an electrolyte in an electric cell?,The metal casing,The positive terminal,A substance that conducts electricity when dissolved or molten,The wire connecting the terminals,C,Easy,Science,Prep 3,1
What is a simple electric circuit composed of?,A power source only,"A power source, conductors, and a load (e.g., bulb)",A switch only,Conductors only,B,Easy,Science,Prep 3,1
What happens in a circuit when a switch is open?,Current flows freely,The circuit is complete,Current stops flowing (circuit is broken),The voltage increases,C,Easy,Science,Prep 3,1
What is the difference between a primary cell and a secondary cell?,Primary cells are larger than secondary cells.,"Primary cells are rechargeable, secondary cells are not.","Primary cells cannot be recharged, secondary cells can.","Primary cells produce AC, secondary cells produce DC.",C,Medium,Science,Prep 3,1
What is electromotive force (EMF) of a cell?,The force pushing electrons through the external circuit.,The maximum potential difference the cell can provide when no current is drawn.,The resistance inside the cell.,The rate at which the cell discharges.,B,Medium,Science,Prep 3,1
"How are cells connected in series, and what is the effect on total voltage?",Positive to positive; voltage decreases.,Positive to negative; voltage adds up.,Parallel connection; voltage adds up.,Positive to negative; voltage remains the same as one cell.,B,Medium,Science,Prep 3,1
"How are cells connected in parallel, and what is the effect on total voltage (assuming identical cells)?","Positive to positive, negative to negative; voltage adds up.",Positive to negative; voltage adds up.,"Positive to positive, negative to negative; voltage remains the same as one cell.",Positive to negative; voltage decreases.,C,Medium,Science,Prep 3,1
What is the main advantage of connecting cells in parallel?,Increases the total voltage significantly.,Increases the total current capacity or lifespan.,Decreases the total resistance.,Simplifies the circuit wiring.,B,Medium,Science,Prep 3,1
What is internal resistance of a cell?,The resistance of the external circuit connected to the cell.,The resistance provided by the electrolyte and electrodes within the cell itself.,The maximum resistance the cell can overcome.,A measure of the cell's voltage.,B,Medium,Science,Prep 3,1
Why does the terminal voltage of a real battery decrease when it supplies more current?,Due to the increase in external resistance.,Due to the voltage drop across its internal resistance.,Because the EMF decreases.,Because the chemical reaction slows down.,B,Medium,Science,Prep 3,1
A battery has an EMF of 1.5 V and an internal resistance of 0.1 Ω. What is the terminal voltage when it supplies a current of 0.5 A?,1.55 V,1.50 V,1.45 V,1.40 V,C,Hard,Science,Prep 3,1
"Three identical cells, each with EMF 2V and internal resistance 0.2 Ω, are connected in series to an external resistor of 5.4 Ω. Calculate the current flowing in the circuit.",1.0 A,0.37 A,1.11 A,3.0 A,A,Hard,Science,Prep 3,1
What happens during the charging process of a secondary cell (rechargeable battery)?,Electrical energy is converted to chemical energy.,Chemical energy is converted to electrical energy.,The internal resistance increases.,The EMF decreases.,A,Hard,Science,Prep 3,1
Explain the basic principle of how a simple voltaic cell (like zinc-copper) generates electricity.,Heat energy drives electron flow.,A difference in the tendency of two metals to lose electrons (oxidation) drives electron flow through an external circuit.,Mechanical pressure creates a potential difference.,Light energy excites electrons.,B,Hard,Science,Prep 3,1
What is the unit 'Ampere-hour' (Ah) commonly used to measure for batteries?,Power output,Voltage rating,Internal resistance,Electric charge capacity,D,Hard,Science,Prep 3,1
What is radioactivity?,The flow of electricity,The spontaneous emission of radiation from the nucleus of an unstable atom,A type of chemical reaction,The energy stored in chemical bonds,B,Easy,Science,Prep 3,1
What is an alpha particle composed of?,An electron,A high-energy photon,Two protons and two neutrons (a Helium nucleus),A single proton,C,Easy,Science,Prep 3,1
What is a beta particle?,A Helium nucleus,A high-energy electron or positron emitted from the nucleus,A packet of electromagnetic energy,A neutron,B,Easy,Science,Prep 3,1
What are gamma rays?,Particles with mass and charge,High-energy electromagnetic radiation,Negatively charged particles,Positively charged particles,B,Easy,Science,Prep 3,1
"What process involves the splitting of a heavy atomic nucleus into lighter nuclei, releasing energy?",Nuclear fusion,Chemical reaction,Radioactive decay,Nuclear fission,D,Easy,Science,Prep 3,1
"What process involves the combining of light atomic nuclei to form a heavier nucleus, releasing energy?",Nuclear fission,Nuclear fusion,Alpha decay,Beta decay,B,Easy,Science,Prep 3,1
What changes occur in the nucleus during alpha decay?,"Atomic number decreases by 1, mass number is unchanged.","Atomic number increases by 1, mass number is unchanged.","Atomic number decreases by 2, mass number decreases by 4.",Atomic number and mass number remain unchanged.,C,Medium,Science,Prep 3,1
What changes occur in the nucleus during beta (minus) decay?,A proton changes into a neutron and an electron.,A neutron changes into a proton and an electron (which is emitted).,The nucleus emits a positron.,The mass number decreases by 1.,B,Medium,Science,Prep 3,1
What is the half-life of a radioactive isotope?,The time it takes for the isotope to become completely stable.,The time it takes for half of the radioactive nuclei in a sample to decay.,Half the total lifetime of the isotope.,The time it takes for the radiation level to double.,B,Medium,Science,Prep 3,1
"If a radioactive sample has a half-life of 10 years, what fraction of the original sample will remain after 30 years?",2-Jan,4-Jan,8-Jan,16-Jan,C,Medium,Science,Prep 3,1
What is the primary source of energy in nuclear power plants currently in operation?,Nuclear fusion of hydrogen,Nuclear fission of uranium or plutonium,Geothermal energy,Combustion of fossil fuels,B,Medium,Science,Prep 3,1
What is the main challenge associated with nuclear fusion as an energy source?,Lack of fuel availability.,Production of long-lived radioactive waste.,Achieving and sustaining the extremely high temperatures and pressures required.,Risk of meltdown.,C,Medium,Science,Prep 3,1
Uranium-238 (²³⁸U) undergoes alpha decay. What is the resulting daughter nucleus?,²³⁴Th (Thorium-234),²³⁸Np (Neptunium-238),²³⁴U (Uranium-234),²³⁹Pu (Plutonium-239),A,Hard,Science,Prep 3,1
Carbon-14 (¹⁴C) undergoes beta decay. What is the resulting daughter nucleus?,¹⁴N (Nitrogen-14),¹³C (Carbon-13),¹⁴B (Boron-14),¹²C (Carbon-12),A,Hard,Science,Prep 3,1
Explain Einstein's mass-energy equivalence principle (E=mc²) and its relevance to nuclear reactions.,Energy is converted to mass in chemical reactions.,Mass and energy are interchangeable; the large energy release in nuclear reactions comes from a small amount of mass being converted into energy.,The speed of light (c) depends on the energy (E) of the system.,"Mass is always conserved, even in nuclear reactions.",B,Hard,Science,Prep 3,1
What is the role of control rods in a nuclear fission reactor?,To speed up the neutrons.,To absorb excess neutrons and regulate the rate of the chain reaction.,To act as the fuel source.,To transfer heat away from the reactor core.,B,Hard,Science,Prep 3,1
"What is meant by 'ionizing radiation', and why is it potentially harmful to living organisms?",Radiation that causes heating; harmful due to burns.,Radiation with enough energy to remove electrons from atoms and molecules; can damage biological tissues and DNA.,Radiation that is visible to the human eye; harmful due to brightness.,Radiation used in radios; harmless at all levels.,B,Hard,Science,Prep 3,1
What is the purpose of a moderator (like water or graphite) in a nuclear reactor?,To absorb neutrons and stop the reaction.,To slow down fast neutrons produced by fission to increase the probability of further fission.,To cool the reactor core.,To shield the surroundings from radiation.,B,Hard,Science,Prep 3,1
What is heredity?,The study of cells,The passing of traits from parents to offspring,The development of an organism,The interaction of organisms with their environment,B,Easy,Science,Prep 3,1
What are genes?,Types of cells in the body,Structures that hold the cell together,Segments of DNA that carry instructions for traits,Proteins found in the blood,C,Easy,Science,Prep 3,1
Where are genes located within a eukaryotic cell?,In the cytoplasm,On ribosomes,In the mitochondria,On chromosomes within the nucleus,D,Easy,Science,Prep 3,1
Who is considered the father of modern genetics?,Charles Darwin,Gregor Mendel,James Watson,Louis Pasteur,B,Easy,Science,Prep 3,1
What organism did Gregor Mendel primarily study to understand heredity?,Fruit flies,Mice,Pea plants,Humans,C,Easy,Science,Prep 3,1
What is an allele?,A type of chromosome,A specific location on a gene,A different form or version of a gene,A structure containing DNA,C,Easy,Science,Prep 3,1
What term describes an allele whose trait always shows up when the allele is present?,Recessive,Dominant,Mutated,Hybrid,B,Easy,Science,Prep 3,1
What term describes an allele that is hidden or masked when a dominant allele is present?,Dominant,Expressed,Recessive,Genotype,C,Easy,Science,Prep 3,1
What is the term for an organism's physical appearance or visible traits?,Genotype,Phenotype,Allele,Chromosome,B,Easy,Science,Prep 3,1
What is the term for an organism's genetic makeup or allele combinations?,Phenotype,Karyotype,Genotype,Trait,C,Easy,Science,Prep 3,1
"An organism with two identical alleles for a trait (e.g., TT or tt) is called:",Heterozygous,Homozygous,Hybrid,Recessive,B,Easy,Science,Prep 3,1
"An organism with two different alleles for a trait (e.g., Tt) is called:",Homozygous dominant,Homozygous recessive,Heterozygous,Purebred,C,Easy,Science,Prep 3,1
"What molecule carries the genetic instructions for the development, functioning, growth and reproduction of all known organisms?",RNA,Protein,DNA,Lipid,C,Easy,Science,Prep 3,1
What is the shape of a DNA molecule often described as?,Single helix,Double helix,A flat ladder,A sphere,B,Easy,Science,Prep 3,1
What is Mendel's Law of Segregation?,Alleles for different traits are inherited independently.,"During gamete formation, the two alleles for a trait separate from each other.",Dominant alleles mask recessive alleles.,Offspring inherit a blend of parental traits.,B,Medium,Science,Prep 3,1
What is Mendel's Law of Independent Assortment?,Alleles separate during gamete formation.,Genes located close together on a chromosome tend to be inherited together.,Alleles for different traits are distributed to gametes independently of one another.,One allele is completely dominant over another.,C,Medium,Science,Prep 3,1
A Punnett square is used to predict the possible __ of offspring from a genetic cross.,Phenotypes only,Genotypes only,Genotypes and Phenotypes,Mutations,C,Medium,Science,Prep 3,1
"In pea plants, tall (T) is dominant to short (t). If a heterozygous tall plant (Tt) is crossed with a short plant (tt), what percentage of the offspring are expected to be tall?",0%,25%,50%,100%,C,Medium,Science,Prep 3,1
"In the cross Tt x Tt (where T=tall, t=short), what is the expected phenotypic ratio of tall to short offspring?",1:01,1:02:01,3:01,9:3:3:1,C,Medium,Science,Prep 3,1
What is incomplete dominance?,One allele completely masks the other.,"Both alleles are expressed equally in the phenotype (e.g., AB blood type).","The heterozygous phenotype is an intermediate blend between the two homozygous phenotypes (e.g., pink flowers from red and white parents).",A gene has more than two alleles.,C,Medium,Science,Prep 3,1
What is codominance?,One allele completely masks the other.,"Both alleles are fully and separately expressed in the heterozygous phenotype (e.g., speckled chickens).",The heterozygous phenotype is a blend of the two homozygous phenotypes.,Genes are located on the sex chromosomes.,B,Medium,Science,Prep 3,1
"Human blood types (A, B, AB, O) are an example of which genetic principles?",Incomplete dominance only,Simple dominance only,Multiple alleles and Codominance,Sex-linked inheritance,C,Medium,Science,Prep 3,1
What are sex chromosomes?,Chromosomes that determine an organism's biological sex.,Chromosomes found only in reproductive cells.,Pairs of identical chromosomes.,Chromosomes that carry genes for height.,A,Medium,Science,Prep 3,1
"In humans, what are the typical sex chromosomes for females?",XY,XX,XO,YY,B,Medium,Science,Prep 3,1
"In humans, what are the typical sex chromosomes for males?",XY,XX,XO,YY,A,Medium,Science,Prep 3,1
Traits controlled by genes located on the sex chromosomes (usually the X chromosome) are called:,Autosomal traits,Dominant traits,Recessive traits,Sex-linked traits,D,Medium,Science,Prep 3,1
"Why are sex-linked recessive traits, like red-green color blindness, more common in males than females?",Males have two X chromosomes.,Females only need one copy of the recessive allele to express the trait.,"Males have only one X chromosome, so a single recessive allele on that X chromosome will be expressed.",The Y chromosome carries the dominant allele.,C,Medium,Science,Prep 3,1
What is a mutation?,The normal process of gene expression.,A change in the DNA sequence of a gene or chromosome.,The pairing of homologous chromosomes.,The process of cell division.,B,Medium,Science,Prep 3,1
What is a pedigree chart used for in genetics?,To show the sequence of DNA.,To track the inheritance of traits through generations of a family.,To predict the outcome of any genetic cross.,To map the location of genes on chromosomes.,B,Medium,Science,Prep 3,1
What is polygenic inheritance?,A single gene affecting multiple traits.,"A trait controlled by two or more genes, often resulting in a continuous range of phenotypes (e.g., human height).",Inheritance patterns determined by genes on the Y chromosome.,When environmental factors influence gene expression.,B,Hard,Science,Prep 3,1
What is epistasis?,When one gene masks or modifies the expression of a different gene at another locus.,When alleles are equally dominant.,The inheritance of traits linked to the X chromosome.,A type of chromosomal mutation.,A,Hard,Science,Prep 3,1
"In Labrador retrievers, black coat (B) is dominant to brown coat (b). However, a separate gene (E) controls pigment deposition. The recessive allele (e) prevents pigment deposition, resulting in a yellow coat regardless of the B/b genotype. This is an example of?",Codominance,Incomplete dominance,Epistasis,Polygenic inheritance,C,Hard,Science,Prep 3,1
What is genetic linkage?,When genes on different chromosomes are inherited together.,The tendency for genes located close together on the same chromosome to be inherited together.,When a gene mutates frequently.,The interaction between genes and the environment.,B,Hard,Science,Prep 3,1
How can the frequency of recombination between linked genes be used?,To determine the dominance relationship between alleles.,To estimate the distance between the genes on a chromosome map.,To identify the function of the genes.,To calculate the mutation rate.,B,Hard,Science,Prep 3,1
What is nondisjunction?,The failure of DNA to replicate correctly.,The failure of homologous chromosomes or sister chromatids to separate properly during meiosis.,The process where genes switch chromosomes.,A type of gene mutation.,B,Hard,Science,Prep 3,1
What is the difference between genotype and phenotype frequency in a population?,They are always the same.,Genotype frequency refers to allele combinations; phenotype frequency refers to observable traits.,Phenotype frequency determines genotype frequency.,Genotype frequency is only relevant for dominant traits.,B,Hard,Science,Prep 3,1
What does the Hardy-Weinberg principle describe?,The process of natural selection.,A hypothetical condition where allele and genotype frequencies in a population remain constant from generation to generation in the absence of evolutionary influences.,The mechanism of genetic drift.,The rate of mutation in a population.,B,Hard,Science,Prep 3,1
A woman is a carrier for hemophilia (X-linked recessive). She marries a man who does not have hemophilia. What is the probability that their son will have hemophilia?,0%,25%,50%,100%,C,Hard,Science,Prep 3,1
What is genomic imprinting?,A change in DNA sequence.,An epigenetic phenomenon where the expression of a gene depends on whether it was inherited from the male or female parent.,The process of mapping a genome.,When genes are located on the mitochondria.,B,Hard,Science,Prep 3,1
"What type of inheritance pattern is suggested by a trait that appears in every generation and affects males and females roughly equally, with affected individuals having at least one affected parent?",Autosomal recessive,Autosomal dominant,X-linked recessive,X-linked dominant,B,Hard,Science,Prep 3,1
What is the endocrine system responsible for?,Digesting food,Transporting oxygen,Producing and secreting hormones,Filtering waste from blood,C,Easy,Science,Prep 3,1
Which gland is often called the 'master gland' because it controls many other endocrine glands?,Thyroid gland,Adrenal gland,Pancreas,Pituitary gland,D,Easy,Science,Prep 3,1
Where is the pituitary gland located?,In the neck,Above the kidneys,At the base of the brain,In the abdomen,C,Easy,Science,Prep 3,1
Which gland is located in the neck and regulates metabolism?,Pituitary gland,Pancreas,Thyroid gland,Adrenal gland,C,Easy,Science,Prep 3,1
What term describes cells or tissues that are affected by a specific hormone?,Source cells,Target cells,Gland cells,Blood cells,B,Easy,Science,Prep 3,1
What condition results from the pancreas not producing enough insulin?,Hyperthyroidism,Diabetes mellitus (Type 1),Gigantism,Dwarfism,B,Easy,Science,Prep 3,1
Which system works closely with the endocrine system to regulate body functions?,Digestive system,Respiratory system,Nervous system,Skeletal system,C,Easy,Science,Prep 3,1
What element is essential for the production of thyroxine?,Calcium,Iron,Iodine,Sodium,C,Easy,Science,Prep 3,1
What is negative feedback in hormonal regulation?,A mechanism where the product of a pathway stimulates its own production.,A mechanism where the product of a pathway inhibits an earlier step in the pathway.,A mechanism where hormones are destroyed after use.,A mechanism involving only the nervous system.,B,Medium,Science,Prep 3,1
What is the difference between endocrine and exocrine glands?,Endocrine glands secrete hormones into ducts; exocrine glands secrete into the bloodstream.,"Endocrine glands secrete hormones into the bloodstream; exocrine glands secrete substances (like sweat, saliva) into ducts or onto surfaces.",Endocrine glands are part of the nervous system; exocrine glands are not.,Endocrine glands are only found in the brain; exocrine glands are found throughout the body.,B,Medium,Science,Prep 3,1
What is the function of Oxytocin?,Regulates blood sugar.,Stimulates uterine contractions and milk ejection.,Controls metabolism.,Promotes bone growth.,B,Medium,Science,Prep 3,1
What condition is caused by hyperthyroidism (overactive thyroid)?,"Slow metabolism, weight gain, fatigue.","Rapid metabolism, weight loss, anxiety, rapid heartbeat.",High blood sugar.,Low blood calcium.,B,Medium,Science,Prep 3,1
What condition is caused by hypothyroidism (underactive thyroid)?,"Rapid metabolism, weight loss.","Slow metabolism, weight gain, fatigue, feeling cold.",Excessive growth.,High blood pressure.,B,Medium,Science,Prep 3,1
What is the function of Calcitonin (produced by the thyroid gland)?,Raises blood calcium levels.,"Lowers blood calcium levels, primarily by inhibiting bone resorption.",Stimulates metabolism.,Increases heart rate.,B,Medium,Science,Prep 3,1
What is the primary role of cortisol?,Regulate salt and water balance.,"Increase blood sugar, suppress the immune system, aid in metabolism (long-term stress response).",Stimulate fight-or-flight response.,Promote secondary sexual characteristics.,B,Medium,Science,Prep 3,1
